Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-03-2016","1,975","176","0.13","0","1,401","12","2","25","405"
"02-03-2016","2,620","6,885","5.07","27","801","295","16","13","1,236"
"03-03-2016","2,685","8,664","6.48","34","584","239","39","31","1,325"
"04-03-2016","1,836","1,761","1.28","2","1,091","108","0","0","339"
"05-03-2016","1,604","0","0","0","1,440","0","0","0","0"
"06-03-2016","1,604","0","0","0","1,440","0","0","0","0"
"07-03-2016","3,200","13,630","9.92","36","658","402","35","46","2,017"
"08-03-2016","2,908","10,886","7.97","40","354","302","19","48","1,628"
"09-03-2016","3,105","11,328","8.22","37","627","360","65","22","1,856"
"10-03-2016","1,842","1,867","1.36","1","705","96","0","0","316"
"11-03-2016","3,222","13,118","9.52","35","724","448","14","34","2,038"
"12-03-2016","2,529","7,129","5.18","9","557","210","32","11","1,119"
"13-03-2016","3,008","13,600","9.87","72","537","255","57","53","1,686"
"14-03-2016","2,466","5,928","4.3","10","609","253","4","15","1,079"
"15-03-2016","3,205","13,466","9.98","39","753","394","18","34","1,889"
"16-03-2016","3,555","25,499","18.56","98","0","297","55","112","2,297"
"17-03-2016","3,070","12,930","9.62","53","811","370","17","27","1,780"
"18-03-2016","3,540","20,582","15.2","91","716","461","49","49","2,410"
"19-03-2016","3,165","12,184","8.85","75","991","382","45","22","1,922"
"20-03-2016","4,432","18,487","13.42","33","309","607","110","63","3,623"
"21-03-2016","3,935","16,504","11.98","34","312","466","106","36","2,823"
"22-03-2016","3,484","13,698","9.94","19","501","443","71","17","2,316"
"23-03-2016","3,710","15,535","11.28","34","479","507","67","5","2,560"
"24-03-2016","3,360","18,354","13.35","27","568","455","29","11","2,142"
"25-03-2016","2,987","13,192","9.58","26","709","421","10","8","1,758"
"26-03-2016","2,961","15,019","10.9","29","611","321","33","25","1,649"
"27-03-2016","2,425","10,055","7.3","9","595","220","20","0","1,054"
"28-03-2016","2,184","6,855","4.98","9","747","150","22","0","741"
"29-03-2016","2,957","10,378","7.53","4","696","294","64","18","1,666"
"30-03-2016","1,722","344","0.25","0","923","40","0","0","139"
"31-03-2016","1,971","2,262","1.64","6","1,323","117","0","0","438"

